epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,23529.2,0.96209,0.86317,1.26682,0.8524,0.82043,0.84069,0.68249,0.50118,0.41004,0.95235,0.005842,0.005842,0.005842
44,24248.2,0.95365,0.85723,1.267,0.8545,0.81752,0.8418,0.68352,0.50085,0.40898,0.95214,0.005743,0.005743,0.005743
45,24770.8,0.95038,0.84446,1.2626,0.85472,0.81904,0.84158,0.68284,0.50132,0.40762,0.95225,0.005644,0.005644,0.005644
46,25329.4,0.94767,0.84585,1.26053,0.86144,0.81893,0.84171,0.68244,0.50184,0.40783,0.95259,0.005545,0.005545,0.005545
47,26143,0.94156,0.83946,1.25622,0.85856,0.81635,0.84179,0.6825,0.5023,0.40772,0.95297,0.005446,0.005446,0.005446
48,26673.1,0.94278,0.83529,1.25602,0.85805,0.81909,0.84263,0.68273,0.50336,0.40733,0.95334,0.005347,0.005347,0.005347
49,27191.2,0.93233,0.82646,1.25341,0.86424,0.8168,0.84336,0.68301,0.50355,0.40749,0.95356,0.005248,0.005248,0.005248
50,27721.7,0.935,0.82524,1.25219,0.86254,0.81914,0.84263,0.68311,0.50341,0.40668,0.95352,0.005149,0.005149,0.005149
51,28237.5,0.93314,0.82644,1.24975,0.86462,0.81534,0.84207,0.68229,0.50319,0.40592,0.95315,0.00505,0.00505,0.00505
52,28795.7,0.93129,0.81215,1.24532,0.8669,0.81308,0.84204,0.68274,0.50288,0.40559,0.95285,0.004951,0.004951,0.004951
53,29318.5,0.92968,0.81467,1.24794,0.86517,0.80967,0.83836,0.68231,0.50223,0.40522,0.95248,0.004852,0.004852,0.004852
54,29849.3,0.92201,0.79837,1.23705,0.86658,0.81096,0.83991,0.68248,0.50198,0.40537,0.95247,0.004753,0.004753,0.004753
55,30359.8,0.92086,0.79463,1.24064,0.86607,0.81052,0.8402,0.68223,0.50144,0.40571,0.95236,0.004654,0.004654,0.004654
56,30895.2,0.92228,0.79661,1.24172,0.86489,0.81211,0.8395,0.68243,0.50111,0.40502,0.95243,0.004555,0.004555,0.004555
57,31410.7,0.91569,0.788,1.23608,0.86577,0.81289,0.83866,0.68203,0.50076,0.40385,0.95242,0.004456,0.004456,0.004456
58,31930.1,0.9111,0.7803,1.23168,0.86516,0.81461,0.83999,0.68251,0.50071,0.40326,0.95207,0.004357,0.004357,0.004357
59,32446.8,0.91594,0.77992,1.23511,0.86446,0.81366,0.83906,0.68276,0.50084,0.40322,0.95223,0.004258,0.004258,0.004258
60,32972,0.91056,0.77745,1.22982,0.86354,0.81492,0.83975,0.68321,0.50115,0.4032,0.95237,0.004159,0.004159,0.004159
61,33490.7,0.90518,0.76592,1.2293,0.86783,0.81257,0.84,0.68325,0.50127,0.4031,0.95255,0.00406,0.00406,0.00406
62,34033.9,0.90693,0.76106,1.22508,0.86817,0.81264,0.84038,0.68357,0.50147,0.40311,0.95282,0.003961,0.003961,0.003961
63,34553.9,0.89969,0.75864,1.21991,0.86864,0.81176,0.83931,0.68333,0.50127,0.40317,0.95251,0.003862,0.003862,0.003862
64,35067.1,0.89306,0.74917,1.21922,0.86853,0.81085,0.84044,0.68388,0.50148,0.40309,0.95245,0.003763,0.003763,0.003763
65,35583.2,0.89604,0.74919,1.2192,0.8695,0.81099,0.84169,0.68372,0.50113,0.40241,0.95212,0.003664,0.003664,0.003664
66,36103.8,0.89061,0.74169,1.21436,0.86943,0.81073,0.84085,0.68431,0.50094,0.40201,0.95186,0.003565,0.003565,0.003565
67,36627.1,0.88601,0.73235,1.20819,0.86816,0.80812,0.84053,0.68455,0.50085,0.40112,0.95195,0.003466,0.003466,0.003466
68,37160.8,0.88712,0.73237,1.21035,0.86638,0.81259,0.84082,0.68368,0.50109,0.40103,0.95203,0.003367,0.003367,0.003367
69,37677.3,0.88412,0.72858,1.20897,0.86594,0.81177,0.84093,0.68381,0.50108,0.40051,0.9518,0.003268,0.003268,0.003268
70,38205.1,0.87786,0.72091,1.20423,0.86599,0.81383,0.84061,0.68349,0.50092,0.39998,0.95174,0.003169,0.003169,0.003169
71,38721.1,0.87137,0.71322,1.19955,0.8669,0.81426,0.84063,0.68386,0.50162,0.3997,0.95211,0.00307,0.00307,0.00307
72,39281.5,0.87284,0.7078,1.19913,0.86695,0.81383,0.84085,0.68403,0.50145,0.39918,0.95184,0.002971,0.002971,0.002971
73,39798.8,0.86421,0.70491,1.19837,0.86611,0.81343,0.84078,0.68402,0.5015,0.39932,0.95194,0.002872,0.002872,0.002872
74,40318.2,0.86213,0.69529,1.19528,0.86674,0.81278,0.84082,0.68435,0.50147,0.39867,0.95196,0.002773,0.002773,0.002773
75,40835.9,0.8683,0.69771,1.19697,0.86623,0.81051,0.84057,0.6852,0.50157,0.39887,0.95199,0.002674,0.002674,0.002674
76,41360.1,0.85756,0.68903,1.19173,0.86584,0.8102,0.84101,0.68521,0.50138,0.39885,0.95181,0.002575,0.002575,0.002575
77,41876.7,0.85339,0.68071,1.18876,0.86444,0.81118,0.84237,0.6855,0.50185,0.39956,0.95219,0.002476,0.002476,0.002476
78,42413.7,0.85226,0.67761,1.18289,0.86307,0.81208,0.84246,0.6858,0.50225,0.39966,0.9528,0.002377,0.002377,0.002377
79,42923.3,0.84557,0.66928,1.18036,0.86197,0.81135,0.84078,0.68543,0.50237,0.39934,0.95273,0.002278,0.002278,0.002278
80,43433.3,0.84572,0.66501,1.17901,0.86244,0.81135,0.84126,0.68513,0.50251,0.39939,0.95267,0.002179,0.002179,0.002179
81,43949.5,0.84661,0.6613,1.1787,0.86473,0.81061,0.8412,0.68521,0.50267,0.39918,0.95293,0.00208,0.00208,0.00208
82,44470.8,0.83624,0.65496,1.1721,0.86684,0.81135,0.84322,0.68553,0.50285,0.39899,0.95288,0.001981,0.001981,0.001981
83,44986.4,0.8318,0.65065,1.17272,0.86944,0.81061,0.8429,0.68574,0.50298,0.39942,0.95298,0.001882,0.001882,0.001882
84,45500,0.83201,0.64967,1.17223,0.86856,0.81083,0.84248,0.68575,0.50309,0.39954,0.95291,0.001783,0.001783,0.001783
85,46016.7,0.82629,0.64228,1.16861,0.86786,0.81091,0.8416,0.68542,0.50339,0.40021,0.9528,0.001684,0.001684,0.001684
86,46538.1,0.82079,0.63501,1.16399,0.86746,0.80956,0.84125,0.68553,0.50332,0.40031,0.95274,0.001585,0.001585,0.001585
87,47053.1,0.8153,0.62989,1.16041,0.86515,0.80869,0.83998,0.68582,0.50323,0.40058,0.95253,0.001486,0.001486,0.001486
88,47574.2,0.81653,0.63036,1.16282,0.86575,0.80601,0.83942,0.68586,0.50373,0.40089,0.95291,0.001387,0.001387,0.001387
89,48089.8,0.81268,0.62209,1.15825,0.8637,0.80768,0.83892,0.68578,0.50384,0.40181,0.9529,0.001288,0.001288,0.001288
90,48627,0.8081,0.61954,1.15504,0.87475,0.79896,0.83871,0.68588,0.50421,0.40227,0.95305,0.001189,0.001189,0.001189
91,49172.8,0.80178,0.50872,1.15269,0.87122,0.80043,0.83793,0.68589,0.50425,0.40242,0.95299,0.00109,0.00109,0.00109
92,49679.6,0.78311,0.4873,1.1413,0.86976,0.79856,0.83751,0.68573,0.50398,0.40151,0.95297,0.000991,0.000991,0.000991
93,50192.2,0.77325,0.47819,1.1355,0.87034,0.79896,0.83764,0.68568,0.50363,0.40126,0.95275,0.000892,0.000892,0.000892
94,50702.3,0.76792,0.47274,1.13242,0.87152,0.7988,0.83779,0.68565,0.50378,0.40154,0.95303,0.000793,0.000793,0.000793
95,51212.5,0.7582,0.46157,1.12724,0.87165,0.79957,0.83838,0.68603,0.50353,0.40146,0.95282,0.000694,0.000694,0.000694
96,51743,0.75182,0.45816,1.12327,0.86993,0.80088,0.83789,0.68562,0.50328,0.40198,0.95268,0.000595,0.000595,0.000595
97,52253.7,0.74586,0.44806,1.11419,0.87184,0.80191,0.83784,0.686,0.50304,0.40207,0.95243,0.000496,0.000496,0.000496
98,52762.5,0.74268,0.44708,1.11585,0.87153,0.80049,0.83727,0.68568,0.5031,0.40226,0.95255,0.000397,0.000397,0.000397
99,53273,0.73365,0.43769,1.1084,0.87312,0.79999,0.83677,0.68497,0.50396,0.40334,0.95296,0.000298,0.000298,0.000298
100,53802.7,0.73106,0.43398,1.10791,0.87087,0.79923,0.83614,0.68467,0.50362,0.40352,0.95284,0.000199,0.000199,0.000199
